Classe;Heure_Debut;Heure_de_Fin;Salle
FPS 2022-2023;07:30;09:00;Salle 24
BP JEPS AAN 2022-2023;14:00;17:30;Salle 44
BP JEPS APT 2022-2023;08:30;12:30;Salle 23
BP JEPS APT 2022-2023;08:30;12:30;Salle Pop 2- PEKIN 2
DEPARTEMENT HAUT NIVEAU;10:30;12:30;Salle 06 + Salle 07
FPS 2022-2023;07:30;09:00;Amphithéâtre
PROFESSION SPORT LOISIRS 2022-2023;13:30;17:00;Salle 41
ADSEA 86;09:00;17:00;Auditorium
ADSEA 86;14:00;14:30;Auditorium
BP JEPS AF 2022-2023;09:00;12:30;Salle 42
DEPARTEMENT HAUT NIVEAU;13:30;15:30;Salle 06 + Salle 07
DEPARTEMENT HAUT NIVEAU;20:00;21:00;Salle 06 + Salle 07
FPS 2022-2023;08:30;12:30;Salle 22
FPS 2022-2023;08:30;12:30;Salle 23 + Salle 24
PF TENNIS 2022-2023 Garçons;13:00;16:00;CDI (salle de cours)
ADSEA 86;08:30;09:00;Auditorium
BP JEPS AAN 2022-2023;09:00;12:30;Salle 44
BP JEPS AF 2022-2023;13:30;17:00;Salle 42
DEPARTEMENT HAUT NIVEAU;15:30;16:30;Salle 06 + Salle 07
DEPARTEMENT HAUT NIVEAU;20:00;21:00;CDI (espace informatique) + CDI (salle de cours)
FPS 2022-2023;08:30;12:30;Amphithéâtre
