Classe;Heure_Debut;Heure_de_Fin;Salle
BP JEPS AAN 2022-2023;09:00;12:30;Salle-10
BP JEPS AAN 2022-2023;14:00;17:30;Salle-10
BP JEPS APT/BFM 2022-2023;09:00;12:30;Salle Pop 1-PEKIN 1
DEPARTEMENT HAUT NIVEAU;08:00;22:00;Salle Aunis
DEPARTEMENT HAUT NIVEAU;12:00;13:00;Salle Saintonge
DEPARTEMENT HAUT NIVEAU;18:00;19:00;Salle Saintonge
DEPARTEMENT HAUT NIVEAU;20:00;21:00;CDI (espace informatique) + Salle-05-CDI
DEPARTEMENT HAUT NIVEAU;20:00;21:00;Salle-02 + Salle-03
FAEMC 2023;08:30;09:00;Salle-14 + Salle-13
FAEMC 2023;08:30;09:00;SC-Résidence PARIS
FAEMC 2023;09:00;17:00;Salle-14 + Salle-13
FAEMC 2023;09:00;17:00;SC-Résidence PARIS
FAEMC 2023;13:30;14:00;Salle-14 + Salle-13
FAEMC 2023;13:30;14:00;SC-Résidence PARIS
FPS 2022-2023;09:00;12:30;Auditorium
FPS 2022-2023;13:30;14:00;Auditorium
FPS 2022-2023;13:30;14:00;Salle-01
FPS 2022-2023;13:30;17:30;Auditorium
FPS 2022-2023;13:30;17:30;Salle-01
LIG NA TENNIS DE 2022-2023;09:00;18:00;SC tennis Halle de Tennis
PF TENNIS 2022-2023 Filles;08:00;11:00;Salle Saintonge
PF TENNIS 2022-2023 Garçons;13:00;16:00;Salle-05-CDI
PREFORMATION aux METIERS du SPORT 2022-2023;13:00;17:00;Salle Pop 2- PEKIN 2
