Classe;Heure_Debut;Heure_de_Fin;Salle
DEPARTEMENT HAUT NIVEAU;10:30;12:30;Salle-15 + Salle-16
LIG NA TENNIS DE 2022-2023;09:00;18:00;SC tennis Halle de Tennis
BP JEPS APT/BFM 2022-2023;09:00;12:30;Salle-12
DE JEPS ATHLETISME 2022-2023;13:30;17:30;Salle-13
DE JEPS ATHLETISME 2022-2023;08:30;12:30;Salle-13
DEPARTEMENT HAUT NIVEAU;13:30;15:30;Salle-15 + Salle-16
DEPARTEMENT HAUT NIVEAU;15:30;16:30;Salle-15 + Salle-16
DEPARTEMENT HAUT NIVEAU;20:00;21:00;Salle-15 + Salle-16
BP JEPS AG 2022-2023;09:00;17:00;Salle-04
DRAJES.S NA;08:30;09:00;Salle-11
DRAJES.S NA;08:30;16:30;Salle-11
