Classe;Heure_Debut;Heure_de_Fin;Salle
BP JEPS AAN 2022-2023;14:00;17:30;Salle 44
DEPARTEMENT HAUT NIVEAU;13:00;13:30;SC-Résidence PARIS
DEPARTEMENT HAUT NIVEAU;16:30;19:30;CDI (espace informatique) + CDI (salle de cours)
FPS 2022-2023;08:30;12:30;Salle 22
FPS 2022-2023;13:30;14:00;Salle 24
DEPARTEMENT HAUT NIVEAU;13:30;17:30;SC-Résidence PARIS
FPS 2022-2023;08:30;12:30;Amphithéâtre
FPS 2022-2023;13:30;14:00;Amphithéâtre
FPS 2022-2023;13:30;17:00;Amphithéâtre
DEPARTEMENT HAUT NIVEAU;08:30;09:00;SC-Résidence PARIS
FPS 2022-2023;08:30;09:00;Salle 24
FPS 2022-2023;08:30;12:30;Salle 23 + Salle 24
FPS 2022-2023;13:30;22:00;Salle 22
BP JEPS AAN 2022-2023;09:00;12:30;Salle 44
BP JEPS AF 2022-2023;09:00;12:30;Salle Pop 1-PEKIN 1
BP JEPS AF 2022-2023;13:30;17:00;Salle Pop 1-PEKIN 1
BP JEPS APT 2022-2023;13:30;17:30;Salle 42
DEPARTEMENT HAUT NIVEAU;09:00;12:30;SC-Résidence PARIS
FPS 2022-2023;08:30;09:00;Amphithéâtre
FPS 2022-2023;13:30;22:00;Salle 23 + Salle 24
PF TENNIS 2022-2023 Garçons;09:30;12:30;CDI (salle de cours)
